event_times,event_types,source_index
"[0.01784672,2.37131558,2.87007686,6.73559269,7.18934939,7.92111072,11.92925397,15.20792277,15.26366432,18.25252547,19.43160798,21.90656312,22.26231787,23.75135252,24.84888436,24.9375781,28.12201178,28.60458455,33.85049155,35.08649095,35.86212725,36.8232875,38.08396353,41.01529869,41.67710287,42.22846734,43.01027225,43.81232023,43.89963471,44.1882893,47.39834195,50.22780558,55.9128881,56.03316179,57.77160977,59.14165065,59.59240239,61.57177764,63.68152925,63.97452825,67.74101135,79.8297352,80.1545955,80.18934464,80.32147752,80.48464026,80.59371062,81.42895349,81.77468619,81.78537053,82.21050482,83.96286083,88.46872785,92.56595196,93.39400274,94.14250151,97.6973548,99.55326124,103.52004536,104.78120731,105.59609457,106.94005305,112.82620857,116.27781836,116.58691709,118.86950362,119.00678194,120.96682519,122.32646191,131.08294156,134.24498135,134.30393116,134.71239894,135.04723677,135.75072986]","[5,6,2,6,5,3,1,0,2,4,1,6,7,0,7,2,1,5,1,1,0,1,4,0,1,0,1,1,2,3,1,4,0,0,5,0,4,5,5,3,1,3,4,3,2,2,3,5,2,3,5,2,2,0,1,7,2,2,7,1,0,1,6,7,6,6,5,0,4,6,2,5,0,6,1]",0
"[2.77867216,3.74492153,4.10020977,5.01428209,5.19813213,5.76165633,6.0164712,6.47849578,10.27923283,11.50828673,11.94275011,13.38701548,14.20793484,17.12620127,17.52890691,21.42331695,21.68202553,22.03344362,23.10667932,24.34307385,24.59837584,24.64257498,24.94448259,26.61960299,42.55249147,48.65675925,50.33154819,50.51302625,52.92984382,53.41101086,54.20960138,56.13084944,62.16269488,62.26266031,62.47081739,62.95483317,63.06517602,63.43098093,63.91399121,64.07940063,64.32176217,64.43540892,64.50185651,64.81733076,64.83380644,65.22678638,65.6866773,66.1030611,66.12509969,66.31933068,67.21901583,68.30070059,69.09193749,69.21105268,69.70007949,70.04905541,70.09841436,70.59346537]","[2,3,1,1,3,0,1,0,0,1,1,0,4,4,6,1,5,0,2,1,6,1,6,0,2,2,3,3,3,2,3,7,1,5,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0]",1
"[1.32034242,5.68487874,5.74328038,8.4737145,8.84446794,8.87281474,9.15779199,15.49598829,15.56432663,18.75855777,19.34709792,20.73948123,22.79424984,23.48405067,26.19267848,26.2733802,27.5114001,29.43719731,29.86263971,30.23271399,36.58888542,48.99873409,49.26123311,49.43125294,49.56358856,49.75082789,49.8260507,52.76781421,53.11368518,53.40705428,54.07703292,55.57333661,56.47899004,58.16277547,60.89612487,62.19238721,62.51148631,67.50849029,75.66678103,76.29518022,77.07439444,78.84698505,80.82696245,81.13790118,82.97582079,89.20950131,92.26921375,96.53321116,97.30062454,98.0157186,98.22661972,99.54964495,104.92018977,106.47915336,110.70276687,111.50584668,111.60919702,113.14538464,113.95718359,115.84211753,116.13313914,116.74892431,118.74201143,119.42824091]","[2,1,0,7,1,0,5,4,0,5,3,4,7,7,6,6,7,7,5,2,4,5,1,0,0,0,1,0,0,4,5,1,1,1,0,5,3,7,7,3,3,0,0,5,5,1,7,2,3,3,2,3,1,5,4,2,3,2,7,2,3,5,1,2]",2
"[0.87988235,9.59624339,10.94620764,13.07284697,14.41704476,14.60579567,16.46680396,16.98429754,17.15288669,17.37121566,20.72388153,21.86587069,21.97773684,22.34953622,24.83026241,25.74515273,26.0225204,26.07267651,26.19724497,26.47285224,27.2127766,28.00221829,28.46451073,28.81059884,29.33213139,31.47635207,33.86009609,34.76709882,34.76942453,35.04488923,35.12653583,35.24973896,35.43658198,35.52710095,35.64169221,36.19166962,36.39243491,36.97445312,38.83041467,39.08594817,39.32077851,39.60467578,39.71756387,40.09801197,40.82604902,41.91018972,42.0464315,43.25657393,43.53336694,44.17187413,44.57580692,46.6060947,47.086985,47.55624069]","[2,0,1,2,3,1,0,2,3,3,0,1,6,0,2,1,2,3,0,1,0,0,1,5,2,5,5,1,0,0,1,0,1,0,1,1,1,1,0,7,1,0,1,0,1,5,0,1,1,0,0,1,1,1]",3
"[3.71586358,3.75670934,5.87707212,6.67733465,8.64743731,9.22230367,11.46822876,13.34660506,13.82153736,19.70793968,19.89443154,20.54738159,21.43817478,25.01283351,26.88135579,28.72500442,32.60827124,32.6565472,32.77198167,33.05133816,33.71128807,36.26051443,42.61793589,46.33594671,50.50350869,51.43896781,51.69798017,51.79794452,52.37530976,53.33642534,55.22775695,56.52188928,57.95475142,58.49408525,58.59028451,58.610118,58.85117738,60.51867381,61.55714823,61.57169673,61.65578671,64.17073813,64.76487238,65.69607096,65.87981863,66.12717086,66.50905421,66.52525137]","[2,3,2,2,2,5,3,1,4,4,2,3,5,5,7,2,1,0,5,0,1,7,5,7,3,6,2,4,6,0,6,0,7,1,1,0,1,5,0,1,0,5,0,1,0,0,1,0]",4
"[1.66166133,3.6046042,8.51050065,16.52939407,16.55760074,18.65605901,19.80962636,22.37927013,24.81949016,26.05044913,26.61050139,28.459317,29.00135947,29.35376198,29.55462418,29.72345778,29.89968587,30.74595767,31.40946252,32.0801673,33.20290431,34.17277468,34.71440465,35.01925451,36.12740593,45.04790883,45.17567121,45.59571091,48.91152996,49.52239647,55.94971512,57.23542628,57.85195829,59.42225343,66.93236533,67.41010004,67.94542199,69.88493354,70.2936693,70.39120108,71.32468765,71.38164278,71.51779099,71.51969347,71.68711037,72.38413243,73.32438861,77.25973259,77.51928582,77.86883012,78.43414677,78.58352515,79.06345318,79.43905352,80.12871889,80.88569911,81.55840837,81.57147018,82.3164563,83.0662229,83.43486552,83.63146788,85.09289994,87.58287164,87.79724065,88.6080381,96.60934059,99.89265834,103.56260093]","[5,2,7,0,7,4,1,4,1,2,3,0,1,5,0,0,1,1,0,1,1,7,1,1,0,4,0,5,7,4,2,3,2,3,2,7,1,3,5,0,1,0,5,0,0,0,1,1,7,0,1,0,5,1,1,0,1,5,0,5,1,0,1,6,0,5,0,5,5]",5
"[3.42446081,6.2504441,6.3264692,7.87348496,9.87738398,18.50474437,20.1236606,23.59799515,25.20340397,25.80303456,31.05579501,32.24468145,33.0895395,33.78335043,33.83286499,34.22515889,36.61817175,36.84525184,37.50301998,37.93195758,39.13279655,42.63691499,43.79168863,52.32401872,53.21254356,57.03770557,70.18486262,76.19506097,79.3442577,80.03784986,84.38267407,84.54437034,85.12886179,85.51070388,85.73209144,86.32828164,86.85181395,87.02948743,87.2474025,91.23353304,91.40089191,91.5558795,98.43000876,98.93741323,99.08509024,99.36593288,100.26259804,101.31722202,101.94508739,104.82644823,105.81561085,109.76735149,113.7922617,118.23034025,118.57556643,119.19283518,119.92014213,131.20802076,132.66837743,141.02482851,141.53431968,142.30596537,142.58186611,142.67414628,142.72726256,143.10301549,143.43498806,144.49314082,145.01000328,145.08103397,145.57756298,145.88057556,146.6110248,146.90738868,147.48849195,148.25815186,148.55907493,148.6830691,149.07350451,149.13604921]","[5,6,5,7,2,3,7,2,7,1,3,2,0,5,0,7,2,1,1,0,1,5,2,6,6,5,2,5,0,1,1,0,6,1,1,5,1,0,1,4,0,7,6,0,1,1,1,0,0,1,1,7,1,1,5,0,5,4,3,2,0,3,2,0,3,1,1,1,0,0,1,0,1,1,0,6,0,1,1,1]",6
"[0.41765192,0.58187857,13.27775479,13.5569998,14.13726816,14.27781518,15.01396625,15.84255283,16.43507177,17.92753524,20.73149701,21.6489482,21.86658142,22.61824927,26.29236733,27.06972087,27.72153911,28.26003577,28.49055412,28.63145827,29.1783622,29.45790737,29.71139777,30.36877722,31.16726401,31.46075405,32.45684008,32.68987471,32.97664161,33.0076762,33.64398026,36.67224719,36.73045293,36.95551654,37.19162532,42.3604149,43.82463252,44.15927668,44.87137555,52.56287016,56.61144495,57.51073962,58.44350563,58.7257289,59.64079044,59.7592849,60.26920509,61.70691517,65.87816793,67.96577353,68.36375663,70.00613125,70.7091021,71.2584326,71.87225488,72.03302709,77.13295913,79.14862739,79.95938541,81.90689715,82.88935208,83.54106755,88.68751238,89.01287886,89.05945675,90.96602489,91.03466209,91.35286714,93.37306247,100.7303947,103.90608631,103.95525513,103.99571644,104.37433504,104.57135748,104.79437339]","[3,3,7,1,0,0,0,1,1,0,3,4,5,0,1,1,2,3,0,1,1,0,0,0,0,1,0,3,4,3,0,2,5,3,4,0,1,5,0,1,0,1,1,0,1,1,0,7,5,6,7,6,5,6,6,2,2,3,2,3,3,3,4,2,3,0,1,4,5,1,1,0,1,0,6,1]",7
"[0.31253187,0.83358866,1.09985365,1.21173929,3.7522635,4.98691028,7.59681714,7.76271013,7.8346768,7.90955009,9.18187614,9.61653721,9.9839199,10.16933819,13.75973238,13.7894684,14.36740155,17.69067026,21.07739854,21.482506,21.49249789,22.58232892,22.7585952,24.10669888,24.32823737,24.49422913,24.98600869,27.86417991,28.81571519,29.38460595,29.44516442,30.88458453,31.58213165,38.85584546,43.29044579,43.29743047,54.13699647,62.15983633,62.23744545,63.16476084,66.40727853,66.61186563,68.06990776,68.15419794,70.47331491,72.68077487,73.10301702,74.80275798]","[2,3,3,3,6,0,2,3,2,2,3,3,2,5,3,2,4,3,1,6,4,3,0,6,3,2,3,3,4,2,4,2,1,7,3,2,7,1,4,0,0,0,1,1,1,6,0,6]",8
"[8.09438842,9.41312095,10.38728377,10.58672974,10.81019573,11.20579792,13.52761387,14.78374499,15.42305647,16.17511718,16.39696151,18.59805877,18.76725716,18.90049125,19.45699929,20.90022772,25.01271587,26.42734301,29.75827509,30.50486513,32.14157306,34.19788748,36.79221865,37.36400882,38.88000067,41.85871393,42.67227638,44.16824,45.46804528,46.72728325,49.51187258,49.59785522,50.00928892,50.11592578,50.6915112,51.03148025,51.26114084,51.89184217,52.99973044,53.00677209,58.18119883,58.67963384,67.92221393,71.95805865,72.09352841,75.99480192,76.1088325,76.21397306,77.02393641,77.34881006,77.50291664,78.23477267,79.23894025,79.80306693,79.82847804,80.04193336,81.53173803,83.81089456,84.32698214,84.41715695,84.51087998,85.03775876,85.528285,85.79285721,85.98228632,86.11117546,86.69709502,86.70605329,87.4163572,87.42723127,87.51003089,88.69226131,89.63983165,89.77273192,89.8280516,90.347197,90.38055274,90.80647578]","[1,0,3,0,1,0,2,7,3,2,3,3,2,4,3,5,4,4,1,5,3,7,7,2,3,4,1,0,3,6,2,3,3,2,3,2,3,4,3,4,3,1,0,1,3,0,7,5,0,1,0,0,2,3,3,6,0,1,0,1,0,4,1,0,7,1,0,1,0,1,0,0,5,0,1,1,0,0]",9
"[3.48544798,4.21718908,4.27778551,4.70284571,7.20282667,12.03100306,12.3257212,17.76136497,23.32429191,25.58101216,28.9742602,30.43635066,31.10371892,32.93029796,34.17780686,34.46759017,37.18905982,38.21278253,40.08645258,45.70978528,46.87754409,49.13855955,49.45951743,50.55364142,50.64451395,51.9906099,53.98942868,54.69321774,55.58330631,56.96094113,61.08765431,61.29141086,61.53364694,61.73500684,63.85205907,64.17497446,64.25191459,66.54686512,73.21397499,79.71129537,80.17921128,80.33108836,81.33359384,82.77440635,83.06592309,83.4092883,83.64605375,84.63470735,85.29941443,85.89883667,86.1926848,86.71191843,87.81705787,90.02042257,90.47071803,93.54289682]","[3,2,3,3,5,2,5,1,0,4,5,0,7,5,3,4,1,7,1,4,3,0,1,1,1,1,0,0,1,7,4,5,5,2,3,3,1,4,2,2,2,3,3,4,3,2,3,2,6,2,4,3,5,5,3,4]",10
