event_times,event_types,source_index
"[2.65584576,5.95585807,6.94391189,9.46330113,9.5927884,9.68224704,11.96497647,12.98320532,13.30904075,14.08538894,14.92048085,18.65095198,19.0533849,22.67981272,23.98293318,24.87793566,25.57960462,29.4305089,30.72399438,32.29952314,34.40681441,34.70139824,35.52014379,37.69709838,40.61671383,42.90954705,51.65810372,52.47771035,54.03471462,58.45726002,58.76823891,59.18837736,59.78948274,59.88855553,60.48197089,60.61274316,61.30043026,61.30452788,61.31314365,61.52245349,61.77560673,62.36282808,62.55491891,62.90330975,62.95437165,63.64920075,64.02642649,64.37570817,64.95230418,65.47920537,65.63893958,65.76725064,65.92695261,66.33886874]","[2,3,7,2,3,3,0,3,2,3,2,0,2,5,1,0,5,1,7,7,4,7,0,4,5,4,1,4,5,1,0,1,0,0,5,2,7,4,1,3,2,0,5,1,1,3,1,0,0,1,1,0,0,1]",0
"[1.76059261,5.92198117,7.15395815,16.07224866,18.70543365,20.16248761,23.00630097,25.11250602,26.90946398,28.50731966,32.9602897,38.26983515,40.42571276,40.52065877,40.87497232,43.88933886,46.49470679,49.37928495,64.8163984,67.92388665,68.59704276,69.75804562,70.01213901,70.67312061,72.46933856,78.18556359,84.84262493,85.54237836,85.99206638,86.38579861,86.89466155,88.03715014,90.54984981,91.06365156,92.59388326,93.66228874,94.47766249,94.71958519,94.88656432,95.17329499,98.49789908,104.32493949,120.92196475,124.3401568,130.15783257,130.994203,139.65582443,141.26012477,143.22300951,144.36562273,145.93036847,150.46901923,152.23549525,152.53261816,162.8960092,163.7659315,167.346899,169.22435282,171.25614222,174.83885701,176.08829385,177.38914065,179.22507474,179.68111428,179.9972466,180.03333058,182.90680119,185.76467722,186.95786795,190.54468558,192.50082255,194.84044501,196.59693245,196.6929511,196.72999414,199.4858551,202.25421633,202.30898225]","[1,0,1,6,1,2,5,2,2,3,4,1,5,2,3,3,6,7,7,3,1,0,4,7,5,2,0,5,3,1,0,3,6,3,5,6,1,0,1,0,6,3,4,6,6,7,4,5,1,2,2,3,2,3,0,5,1,5,0,1,1,0,4,1,0,0,2,2,1,1,2,3,5,2,3,3,2,2]",1
"[6.35915626,8.66641045,11.85476057,19.2535559,20.02650251,21.38989669,21.55049676,21.67470644,22.13207584,24.45927835,24.65699065,26.9378134,27.0235622,27.13728485,27.80241243,27.84630407,28.78673932,28.92932504,29.16936026,29.8609228,30.1434278,30.14550795,30.33631494,30.77278719,30.78290345,31.65440318,31.87602551,31.9592324,32.04729576,32.16159946,32.22331457,32.38606442,32.56680417,32.66244769,33.81167065,33.8445128,33.9627209,34.56456495,35.28730131,36.13927024,37.76947901,40.46712311,46.9343374,48.10054743,49.10013198,49.10089846,49.58811678,50.67547277,53.28912747,53.60209475,58.31198187,59.9560201,61.33414205,62.13643411,62.70524548,67.21817586,67.56888632,68.63762107,68.76060509,68.88180242,69.41321899,70.55356766,71.15970513,71.28586144,71.36311674,71.97464397,72.16353363,72.46610053,72.59993273,73.41167416,73.56432633,74.18578099,74.22259815]","[4,6,2,3,1,0,1,2,0,4,1,0,0,1,5,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,7,7,7,1,1,5,0,4,1,6,0,2,1,0,3,4,7,1,0,0,0,5,0,1,1,0,0,1]",2
"[0.57477428,0.84744801,3.22768782,3.8057247,4.08060316,4.75221908,6.3968557,6.55912478,7.06728078,7.14209247,7.25878332,7.37531467,9.52327999,10.8516637,11.0820139,11.48041459,12.0793955,12.1077537,12.63810447,12.74251823,12.90411813,13.24539533,13.35904083,13.40715262,13.76577087,13.81999323,14.45474518,15.37186857,15.40964603,15.634343,16.11765917,17.27892423,17.90092635,17.99513435,18.4897469,19.99387773,20.2900009,20.56993966,20.67634226,21.04585351,21.48224414,21.52134148,21.96876362,22.8986119,23.09786901,25.01854309,25.90831207,27.57543569,27.89283672,28.37677453,28.45161983,28.78552496,29.18819926,30.12918191,30.64969388,30.81646789,31.36162137,31.40844954,32.49608902,33.17325125,33.80844337,33.96123416,34.64123391,35.23779686]","[5,5,7,2,5,0,3,1,0,1,0,0,2,1,0,1,0,1,0,0,5,1,1,0,1,3,1,0,1,0,2,0,1,1,2,0,3,1,0,1,0,1,0,2,5,0,0,1,0,1,1,0,1,1,5,1,0,1,0,1,3,6,0,6]",3
"[0.71013261,1.2297015,3.95099206,5.05356994,11.79642382,14.57955387,18.85700726,19.59075651,19.91380132,20.24265118,22.36152634,22.4745134,30.74565519,41.28358266,42.16993324,44.34591898,45.30439332,48.3154043,50.42459513,51.46539306,57.7817945,57.98802334,58.18737737,63.48378823,67.72608323,67.74924644,67.79102639,70.10234237,70.11017478,70.4895737,70.77716472,71.18102473,71.73422223,72.21063185,72.47421037,72.98122115,73.16792541,73.27396652,73.59639869,74.05930336,74.06523339,75.01295078,75.44768214,75.52397037,75.60194612,75.67170345,75.94404897,75.99338434,76.19648836,76.39669329,77.14052039,77.38411714,77.7716099,77.81832032,77.86715139,78.12166061,78.19020239,78.21795707,78.7512501,78.9714757,79.14377154,79.68726459,80.8415374,81.31894156,81.36711981,81.79024914,83.49121433,83.5518683,84.16379654,84.60785062]","[3,4,0,2,4,6,0,1,3,7,1,7,7,5,5,0,5,7,7,0,0,1,7,3,0,1,1,5,1,2,4,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,3,7,0,1,0,1,0,1,0,1,1,0,1,1,0,0,2,3,0,3,0,1,1,0]",4
"[6.0602112,6.08826716,7.53428392,7.89416285,8.15737453,11.40632619,11.41382818,14.34523202,16.61510408,18.32165661,18.9927571,20.85819844,28.98191723,30.34729036,30.78940221,32.52357287,32.92202508,33.92023661,35.97384673,37.35616742,37.88761229,38.54183124,39.02546047,39.65471949,40.20656843,40.81787323,40.84203476,41.7027149,42.30884639,43.09941032,43.51230399,44.47719123,45.71339423,46.12072243,47.97542256,48.97654887,49.0892364,49.28151935,49.47545145,49.65131309,50.20799928,50.76547397,51.32969951,51.46162376,51.49468769,52.07788445,52.52538939,52.87745721,53.57423112,54.54904516,56.61906975,57.05074921,58.52489295,60.46746603,61.42202418,75.84228723,78.98235863]","[2,3,1,2,4,7,7,2,7,1,3,7,5,0,1,2,7,4,0,1,0,1,0,2,6,1,0,0,1,6,1,1,0,1,0,1,0,1,1,1,6,1,2,3,0,3,3,0,3,3,3,4,7,7,1,0,1]",5
"[1.80219645,3.47763033,3.53171165,3.59970546,10.4321416,12.14430692,13.02262394,15.38263449,17.5854587,20.61288549,25.300425,26.26649542,29.78152884,30.51553707,34.75192898,34.91748796,35.81028217,35.91671317,37.14190631,37.59859672,37.61573368,37.72051567,38.85479537,39.1347519,39.38553852,40.00705632,40.05699568,42.14107081,42.19781073,42.32243593,42.49733803,43.86771222,47.21717058,47.36766605,47.39197809,47.65481187,50.14343263,50.23864083,50.3457695,51.09152054,51.4287794,51.63984265,53.78035552,54.68883564,58.22783056,58.98341834,59.34286211,62.07037305,63.43762853,64.19176228,65.23780867,66.66039124,67.82299433,67.97638908,68.59798703,70.46346714,70.55423857,71.77947217,72.35490134,76.2911873,77.40648575,78.0672212,78.11167666,78.22471516,78.30729229,80.59183462,85.13902063,89.87212183,91.13762139]","[5,0,5,4,2,4,0,0,6,4,7,3,7,5,2,5,5,2,7,0,7,2,2,3,1,0,7,1,0,1,1,1,0,1,1,1,0,1,2,0,1,1,0,1,0,1,0,5,1,5,6,5,0,1,1,1,0,1,0,5,4,1,3,3,4,6,7,5,7]",6
"[3.0504077,3.19241903,3.51847657,3.69600268,3.89032805,3.9681727,3.99995634,4.09968831,4.46775128,6.15039543,6.38342247,7.14039544,7.93175514,8.06687191,8.62687278,8.98350678,10.01676058,10.36075373,12.64263243,13.3639339,14.04429473,14.98178383,19.2142214,19.33844964,19.39039557,24.48186812,31.84074877,32.20150336,32.40865533,32.69602744,33.24190368,34.19649225,34.25876366,34.39855831,39.52817041,41.62047339,46.98576538,48.73509408,49.79414486,49.82118994,50.04621184,50.26016535,50.41008564,50.56330679,51.1974633,51.33843918,51.50569083,52.51401092,54.80875047,56.04883918,56.22466702,57.13783237,60.36609659,65.6820334,68.02532344,68.03399778,80.6072961,82.78364597,86.9646323,87.84685328,92.11496144,93.38861183,95.64820617,96.18388097,96.98978671]","[1,0,5,1,1,0,0,0,1,5,0,1,1,0,1,0,1,7,0,0,1,0,0,0,1,4,0,3,5,1,2,0,1,5,3,2,2,7,7,7,1,3,2,2,7,2,3,3,6,3,2,3,0,7,2,3,2,0,6,0,1,0,1,0,1]",7
"[2.98263756,3.25396015,4.37343577,5.16397562,5.83981288,6.74493886,7.5537233,7.8696665,7.90513617,7.92751751,7.96223783,8.38177216,9.00403865,9.0431625,9.12098171,9.12324514,9.94416414,10.07155398,10.70268346,10.7277381,11.18099816,11.24273385,13.71181311,14.71914832,15.78884891,15.82029719,16.30784103,16.41274193,19.17403551,19.51911048,20.34321277,26.17062122,26.50889968,27.45568946,30.55346685,31.20119782,31.26164183,32.4723547,35.1187127,40.51335133,43.37670497,46.67550704,48.989032,49.07529381,49.10590278,49.78692876,50.8954637,51.01195088,51.06661483,51.39963798,51.47624697,51.82757108,51.85858554,51.90252093,52.12304794,52.25465224,53.04368269,53.11667359,53.24110526,53.42413772,53.51431245,53.97713543,54.26672392,55.41452314,55.88007107,57.49540183,57.52750598,58.37659266,58.77214587]","[2,3,3,3,0,2,3,3,3,7,3,2,4,7,3,2,3,3,1,3,4,0,5,2,3,3,2,3,2,0,4,7,2,7,3,2,0,5,1,0,1,2,1,4,6,4,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,4,7]",8
"[0.58367141,9.28279773,9.33356066,10.03414563,10.10643731,10.75542835,11.57377758,12.18751951,13.07692649,13.72103344,14.82457273,16.9758607,17.22281006,19.66378547,19.90110169,20.00747387,20.31115414,20.37256676,20.3850704,20.58632765,20.67944887,20.68895971,21.11407368,21.47956197,21.85210561,22.12066006,25.60126497,25.72360135,25.88760984,26.04423447,27.53858586,28.65557694,28.65970062,28.73580916,28.94366468,29.04111055,29.4259293,29.83078192,30.43557488,31.06387425,31.23374602,31.66110885,31.85492018,35.74231447,36.14637018,36.40262574,36.69823619,36.78368204,37.7198484,37.85839462,37.99520452,38.14498362,38.42494779,38.75820068,38.82850944,38.91883901,39.02698064,39.07343029,39.76649766,40.91492239,41.57518391,41.76950334,41.80108109,41.83444885,41.95085775,42.10578329,42.24921396,42.35399913,42.98001529,43.13324708,43.45383209,44.39764126,46.15286149,52.34714899,57.04737745,57.16584441,58.75878261,58.78572476,59.41689037]","[4,1,0,4,1,1,1,0,1,1,5,3,4,2,3,3,2,2,2,3,1,2,3,2,2,3,2,7,3,2,1,0,1,0,0,1,4,5,1,3,4,1,2,0,1,0,1,6,0,0,1,5,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,7,6,1,0,0,4,2]",9
